District,Latitude,Longitude
Lucknow,26.8381,80.9346001
Kanpur Nagar,26.4410107,80.2652803
Varanasi,25.3356491,83.0076292
Agra,27.1752554,78.0098161
Prayagraj,25.4381302,81.8338005
Ghaziabad,28.7749966,77.4586967
Meerut,29.0018557,77.7679671
Gorakhpur,26.6677977,83.3642334
Bareilly,28.4582345,79.4047452
Aligarh,27.8761073,78.1358153
Moradabad,28.8796553,78.8095335
Noida,28.5706333,77.3272147
Jhansi,25.529855,78.6527802
Ayodhya,26.7990707,82.2052321
Mathura,27.4955539,77.6855554
Shahjahanpur,27.9128583,79.7476254
Sitapur,27.5026748,80.8335139
Raebareli,26.2086769,81.2186298
Saharanpur,29.9856799,77.5040646
Firozabad,27.1941954,78.4604956
Muzaffarnagar,29.4496979,77.7429333
Ballia,25.8749595,84.1210329
Basti,26.8387083,82.5350919
Etawah,26.7155629,79.0917098
Mirzapur,24.9316896,82.6280163
Mumbai,19.054999,72.8692035
Pune,18.5213738,73.8545071
Nagpur,21.1498134,79.0820556
Thane,19.3653598,73.3685437
Nashik,20.0112475,73.7902364
Aurangabad,19.877263,75.3390241
Solapur,17.8499067,75.2763203
Amravati,21.1545412,77.6442962
Kolhapur,16.7028412,74.2405329
Sangli,17.1726928,74.5867654
Jalgaon,20.8428827,75.5261246
Satara,17.6361289,74.2982781
Latur,18.3553347,76.7548997
Ahmednagar,19.092952,74.7493451
Chandrapur,20.0967555,79.5045475
Beed,18.9918442,75.909784
Akola,20.7618122,77.1921157
Nanded,19.0942729,77.4832628
Ratnagiri,17.2826079,73.4569787
Wardha,20.8256231,78.6131455
Buldhana,20.562845,76.4086986
Dhule,21.1305215,74.4900614
Parbhani,19.2901981,76.6026443
Osmanabad,18.2822454,76.0588166
Palghar,19.757249,73.0931199
Patna,25.6093239,85.1235252
Gaya,24.7964355,85.0079563
Muzaffarpur,26.1482548,85.3316097
Bhagalpur,25.2861354,87.1304229
Darbhanga,26.0829899,86.0324951
Purnia,25.7758723,87.4087667
Nalanda,25.1364914,85.4436546
Siwan,26.131008,84.3910745
Saran,25.9214451,84.7759731
Begusarai,25.5125411,86.0883392
Arrah,25.560317,84.6632139
Katihar,25.5586421,87.6457196
Madhubani,26.3503076,86.2296424
Saharsa,25.8330757,86.6143751
Samastipur,25.7747885,85.8672314
Motihari,26.6506888,84.9114654
Buxar,25.5044834,84.1097525
Rohtas,24.9394143,84.0197031
Sitamarhi,26.5942841,85.500428
Kishanganj,26.2984144,87.9466715
Jamui,24.7562514,86.3011128
Araria,26.1346459,87.4654062
Gopalganj,26.4211166,84.3739133
Khagaria,25.4930513,86.6982264
Banka,24.8328273,86.8161114
Kolkata,22.5726459,88.3638953
Howrah,22.5736296,88.3251045
Darjeeling,27.0377554,88.263176
Malda,25.0057449,88.1398483
Murshidabad,24.1745993,88.2721335
North 24 Parganas,22.6926815,88.6625795
South 24 Parganas,22.1776733,88.5307853
Hooghly,22.9099402,88.0120825
Bardhaman,23.2495714,87.8681751
Siliguri,26.7164127,88.4309916
Nadia,23.4847374,88.5567067
Bankura,23.132377,87.2081925
Purulia,23.2020967,86.3228988
Cooch Behar,26.2559197,89.4201143
Jalpaiguri,26.6262805,88.7334485
Birbhum,24.0621532,87.6982823
Alipurduar,26.4851573,89.5246926
Kalimpong,27.0702869,88.4723676
Midnapore,22.4207025,87.3269963
Basirhat,22.6611962,88.8660215
Asansol,23.6871297,86.9746587
Durgapur,23.5350475,87.3380425
Barrackpore,22.7641623,88.3776088
Chandannagar,22.8639237,88.3703496
Haldia,22.028124,88.0632655
Bhopal,23.2584857,77.401989
Indore,22.7203616,75.8681996
Gwalior,26.2037247,78.1573628
Jabalpur,23.1701522,79.9324505
Ujjain,23.1885131,75.7716562
Sagar,23.8083076,78.758254
Rewa,24.7560846,81.3810574
Satna,24.6954445,80.7770348
Ratlam,23.50222,74.9551534
Chhindwara,22.2071897,78.798833
Dewas,22.8057498,76.2940408
Sehore,23.1150041,77.0665356
Vidisha,23.8463004,77.8370209
Shivpuri,25.3741215,77.8278866
Khandwa,21.9769779,76.5675344
Neemuch,24.6305517,75.1829
Mandsaur,24.2628148,75.385692
Balaghat,21.8611589,80.3237105
Betul,21.8797472,77.8753651
Hoshangabad,22.7545538,77.7198249
Katni,23.7176393,80.2610181
Singrauli,24.2431343,82.3827672
Damoh,23.7981005,79.5419356
Datia,25.9182947,78.6644962
Morena,26.3849794,77.8612721
Chennai,13.0836939,80.270186
Coimbatore,11.0018115,76.9628425
Madurai,9.9261153,78.1140983
Salem,11.6469616,78.2106958
Tiruchirappalli,10.8071144,78.6880939
Tirunelveli,8.5495014,77.5805178
Vellore,12.9021849,79.061104
Erode,11.4905282,77.3505274
Thoothukudi,8.8457035,77.9938178
Dindigul,10.4256896,77.815664
Cuddalore,11.5202071,79.3396356
Karur,10.8217671,78.3828654
Thanjavur,10.659037,79.2014278
Kanchipuram,12.9647163,79.9839686
Tiruppur,10.7915267,77.5325466
Nagapattinam,10.6026203,79.7619348
Namakkal,11.3033889,78.118604
Krishnagiri,12.5152075,78.0093769
Ramanathapuram,9.5205576,78.5184635
Sivaganga,9.8486881,78.4870461
Virudhunagar,9.4926289,77.8631831
Ariyalur,11.1530559,79.2585797
Perambalur,11.2902641,78.9300404
