,State,District,Year,Crime_Type,Cases_Reported,Chargesheeted,Convictions,Population,Crime_Rate_per_100k,Latitude,Longitude,Risk_Level,Safety_Score
0,Uttar Pradesh,Lucknow,2014,Murder,580,519,329,6843158,8.48,26.8381,80.9346001,Low,94.12905012461921
1,Uttar Pradesh,Lucknow,2014,Rape,682,553,213,6843158,9.97,26.8381,80.9346001,Low,93.09747992245916
2,Uttar Pradesh,Lucknow,2014,Kidnapping,206,163,92,6843158,3.01,26.8381,80.9346001,Low,97.91608972583772
3,Uttar Pradesh,Lucknow,2014,Theft,555,432,289,6843158,8.11,26.8381,80.9346001,Low,94.38521185267238
4,Uttar Pradesh,Lucknow,2014,Robbery,1068,718,309,6843158,15.61,26.8381,80.9346001,Low,89.19274439213514
5,Uttar Pradesh,Lucknow,2014,Assault,95,81,54,6843158,1.39,26.8381,80.9346001,Low,99.03766269731376
6,Uttar Pradesh,Lucknow,2014,Burglary,332,217,130,6843158,4.85,26.8381,80.9346001,Low,96.64220437551924
7,Uttar Pradesh,Lucknow,2014,Cybercrime,582,434,263,6843158,8.5,26.8381,80.9346001,Low,94.11520354472445
8,Uttar Pradesh,Lucknow,2014,Dowry Deaths,386,319,215,6843158,5.64,26.8381,80.9346001,Low,96.095264469676
9,Uttar Pradesh,Lucknow,2014,Fraud,523,424,219,6843158,7.64,26.8381,80.9346001,Low,94.71060648019939
10,Uttar Pradesh,Lucknow,2015,Murder,965,794,579,6843158,14.1,26.8381,80.9346001,Low,90.23816117418997
11,Uttar Pradesh,Lucknow,2015,Rape,900,848,506,6843158,13.15,26.8381,80.9346001,Low,90.89587371919136
12,Uttar Pradesh,Lucknow,2015,Kidnapping,1036,786,392,6843158,15.14,26.8381,80.9346001,Low,89.51813901966214
13,Uttar Pradesh,Lucknow,2015,Theft,649,443,187,6843158,9.48,26.8381,80.9346001,Low,93.43672112988092
14,Uttar Pradesh,Lucknow,2015,Robbery,984,643,433,6843158,14.38,26.8381,80.9346001,Low,90.04430905566325
15,Uttar Pradesh,Lucknow,2015,Assault,441,324,186,6843158,6.44,26.8381,80.9346001,Low,95.54140127388536
16,Uttar Pradesh,Lucknow,2015,Burglary,191,127,65,6843158,2.79,26.8381,80.9346001,Low,98.06840210468015
17,Uttar Pradesh,Lucknow,2015,Cybercrime,1045,727,320,6843158,15.27,26.8381,80.9346001,Low,89.42813625034617
18,Uttar Pradesh,Lucknow,2015,Dowry Deaths,713,527,244,6843158,10.42,26.8381,80.9346001,Low,92.78593187482691
19,Uttar Pradesh,Lucknow,2015,Fraud,661,456,163,6843158,9.66,26.8381,80.9346001,Low,93.31210191082802
20,Uttar Pradesh,Lucknow,2016,Murder,190,171,124,6843158,2.78,26.8381,80.9346001,Low,98.07532539462753
21,Uttar Pradesh,Lucknow,2016,Rape,727,663,419,6843158,10.62,26.8381,80.9346001,Low,92.64746607587925
22,Uttar Pradesh,Lucknow,2016,Kidnapping,980,738,344,6843158,14.32,26.8381,80.9346001,Low,90.08584879534754
23,Uttar Pradesh,Lucknow,2016,Theft,81,62,27,6843158,1.18,26.8381,80.9346001,Low,99.18305178620881
24,Uttar Pradesh,Lucknow,2016,Robbery,303,210,141,6843158,4.43,26.8381,80.9346001,Low,96.93298255330933
25,Uttar Pradesh,Lucknow,2016,Assault,851,742,268,6843158,12.44,26.8381,80.9346001,Low,91.38742730545556
26,Uttar Pradesh,Lucknow,2016,Burglary,180,137,55,6843158,2.63,26.8381,80.9346001,Low,98.17917474383827
27,Uttar Pradesh,Lucknow,2016,Cybercrime,920,862,390,6843158,13.44,26.8381,80.9346001,Low,90.69509831071726
28,Uttar Pradesh,Lucknow,2016,Dowry Deaths,383,359,171,6843158,5.6,26.8381,80.9346001,Low,96.12295762946552
29,Uttar Pradesh,Lucknow,2016,Fraud,405,359,264,6843158,5.92,26.8381,80.9346001,Low,95.90141235114926
30,Uttar Pradesh,Lucknow,2017,Murder,837,764,547,6843158,12.23,26.8381,80.9346001,Low,91.53281639435059
31,Uttar Pradesh,Lucknow,2017,Rape,178,150,96,6843158,2.6,26.8381,80.9346001,Low,98.19994461368042
32,Uttar Pradesh,Lucknow,2017,Kidnapping,1037,942,447,6843158,15.15,26.8381,80.9346001,Low,89.51121572971476
33,Uttar Pradesh,Lucknow,2017,Theft,975,831,603,6843158,14.25,26.8381,80.9346001,Low,90.13431182497924
34,Uttar Pradesh,Lucknow,2017,Robbery,135,115,76,6843158,1.97,26.8381,80.9346001,Low,98.63611188036555
35,Uttar Pradesh,Lucknow,2017,Assault,1009,937,390,6843158,14.74,26.8381,80.9346001,Low,89.79507061755746
36,Uttar Pradesh,Lucknow,2017,Burglary,605,427,300,6843158,8.84,26.8381,80.9346001,Low,93.87981168651343
37,Uttar Pradesh,Lucknow,2017,Cybercrime,1025,685,401,6843158,14.98,26.8381,80.9346001,Low,89.62891165882027
38,Uttar Pradesh,Lucknow,2017,Dowry Deaths,82,62,36,6843158,1.2,26.8381,80.9346001,Low,99.16920520631405
39,Uttar Pradesh,Lucknow,2017,Fraud,997,800,419,6843158,14.57,26.8381,80.9346001,Low,89.91276654666298
40,Uttar Pradesh,Lucknow,2018,Murder,108,72,46,6843158,1.58,26.8381,80.9346001,Low,98.90612018831348
41,Uttar Pradesh,Lucknow,2018,Rape,41,38,15,6843158,0.6,26.8381,80.9346001,Low,99.58460260315702
42,Uttar Pradesh,Lucknow,2018,Kidnapping,117,94,50,6843158,1.71,26.8381,80.9346001,Low,98.81611741899751
43,Uttar Pradesh,Lucknow,2018,Theft,1112,976,483,6843158,16.25,26.8381,80.9346001,Low,88.74965383550263
44,Uttar Pradesh,Lucknow,2018,Robbery,401,346,175,6843158,5.86,26.8381,80.9346001,Low,95.94295209083356
45,Uttar Pradesh,Lucknow,2018,Assault,48,32,19,6843158,0.7,26.8381,80.9346001,Low,99.51536970368319
46,Uttar Pradesh,Lucknow,2018,Burglary,58,42,26,6843158,0.85,26.8381,80.9346001,Low,99.41152035447244
47,Uttar Pradesh,Lucknow,2018,Cybercrime,487,433,231,6843158,7.12,26.8381,80.9346001,Low,95.07061755746331
48,Uttar Pradesh,Lucknow,2018,Dowry Deaths,578,527,232,6843158,8.45,26.8381,80.9346001,Low,94.14981999446137
49,Uttar Pradesh,Lucknow,2018,Fraud,372,293,139,6843158,5.44,26.8381,80.9346001,Low,96.23373026862365
50,Uttar Pradesh,Lucknow,2019,Murder,1079,949,663,6843158,15.77,26.8381,80.9346001,Low,89.08197175297701
51,Uttar Pradesh,Lucknow,2019,Rape,1059,726,370,6843158,15.48,26.8381,80.9346001,Low,89.28274716145113
52,Uttar Pradesh,Lucknow,2019,Kidnapping,552,391,286,6843158,8.07,26.8381,80.9346001,Low,94.41290501246192
53,Uttar Pradesh,Lucknow,2019,Theft,1096,953,535,6843158,16.02,26.8381,80.9346001,Low,88.90888950429245
54,Uttar Pradesh,Lucknow,2019,Robbery,1057,959,465,6843158,15.45,26.8381,80.9346001,Low,89.30351703129327
55,Uttar Pradesh,Lucknow,2019,Assault,117,83,38,6843158,1.71,26.8381,80.9346001,Low,98.81611741899751
56,Uttar Pradesh,Lucknow,2019,Burglary,113,105,77,6843158,1.65,26.8381,80.9346001,Low,98.8576571586818
57,Uttar Pradesh,Lucknow,2019,Cybercrime,392,262,110,6843158,5.73,26.8381,80.9346001,Low,96.03295486014954
58,Uttar Pradesh,Lucknow,2019,Dowry Deaths,360,295,207,6843158,5.26,26.8381,80.9346001,Low,96.35834948767655
59,Uttar Pradesh,Lucknow,2019,Fraud,923,781,552,6843158,13.49,26.8381,80.9346001,Low,90.66048186098034
60,Uttar Pradesh,Lucknow,2020,Murder,510,377,207,6843158,7.45,26.8381,80.9346001,Low,94.84214898919967
61,Uttar Pradesh,Lucknow,2020,Rape,822,754,292,6843158,12.01,26.8381,80.9346001,Low,91.68512877319301
62,Uttar Pradesh,Lucknow,2020,Kidnapping,289,214,96,6843158,4.22,26.8381,80.9346001,Low,97.07837164220437
63,Uttar Pradesh,Lucknow,2020,Theft,1135,868,383,6843158,16.59,26.8381,80.9346001,Low,88.51426197729161
64,Uttar Pradesh,Lucknow,2020,Robbery,270,204,95,6843158,3.95,26.8381,80.9346001,Low,97.26530047078371
65,Uttar Pradesh,Lucknow,2020,Assault,590,400,293,6843158,8.62,26.8381,80.9346001,Low,94.03212406535586
66,Uttar Pradesh,Lucknow,2020,Burglary,926,606,244,6843158,13.53,26.8381,80.9346001,Low,90.6327887011908
67,Uttar Pradesh,Lucknow,2020,Cybercrime,152,142,61,6843158,2.22,26.8381,80.9346001,Low,98.46302963168097
68,Uttar Pradesh,Lucknow,2020,Dowry Deaths,557,425,208,6843158,8.14,26.8381,80.9346001,Low,94.36444198283024
69,Uttar Pradesh,Lucknow,2020,Fraud,69,63,43,6843158,1.01,26.8381,80.9346001,Low,99.30074771531432
70,Uttar Pradesh,Lucknow,2021,Murder,1037,949,614,6843158,15.15,26.8381,80.9346001,Low,89.51121572971476
71,Uttar Pradesh,Lucknow,2021,Rape,714,605,429,6843158,10.43,26.8381,80.9346001,Low,92.77900858487953
72,Uttar Pradesh,Lucknow,2021,Kidnapping,531,503,270,6843158,7.76,26.8381,80.9346001,Low,94.6275270008308
73,Uttar Pradesh,Lucknow,2021,Theft,877,601,426,6843158,12.82,26.8381,80.9346001,Low,91.124342287455
74,Uttar Pradesh,Lucknow,2021,Robbery,670,501,295,6843158,9.79,26.8381,80.9346001,Low,93.22209914151205
75,Uttar Pradesh,Lucknow,2021,Assault,938,705,334,6843158,13.71,26.8381,80.9346001,Low,90.50816948213792
76,Uttar Pradesh,Lucknow,2021,Burglary,1140,920,689,6843158,16.66,26.8381,80.9346001,Low,88.46579894765993
77,Uttar Pradesh,Lucknow,2021,Cybercrime,400,379,147,6843158,5.85,26.8381,80.9346001,Low,95.94987538078095
78,Uttar Pradesh,Lucknow,2021,Dowry Deaths,655,432,294,6843158,9.57,26.8381,80.9346001,Low,93.37441152035447
79,Uttar Pradesh,Lucknow,2021,Fraud,653,461,207,6843158,9.54,26.8381,80.9346001,Low,93.39518139019663
80,Uttar Pradesh,Lucknow,2022,Murder,944,851,350,6843158,13.79,26.8381,80.9346001,Low,90.45278316255884
81,Uttar Pradesh,Lucknow,2022,Rape,1060,969,432,6843158,15.49,26.8381,80.9346001,Low,89.27582387150375
82,Uttar Pradesh,Lucknow,2022,Kidnapping,877,796,489,6843158,12.82,26.8381,80.9346001,Low,91.124342287455
83,Uttar Pradesh,Lucknow,2022,Theft,492,373,237,6843158,7.19,26.8381,80.9346001,Low,95.02215452783163
84,Uttar Pradesh,Lucknow,2022,Robbery,657,588,343,6843158,9.6,26.8381,80.9346001,Low,93.35364165051233
85,Uttar Pradesh,Lucknow,2022,Assault,72,53,33,6843158,1.05,26.8381,80.9346001,Low,99.27305455552478
86,Uttar Pradesh,Lucknow,2022,Burglary,1043,739,531,6843158,15.24,26.8381,80.9346001,Low,89.44890612018831
87,Uttar Pradesh,Lucknow,2022,Cybercrime,244,160,59,6843158,3.57,26.8381,80.9346001,Low,97.52838548878427
88,Uttar Pradesh,Lucknow,2022,Dowry Deaths,189,124,48,6843158,2.76,26.8381,80.9346001,Low,98.08917197452229
89,Uttar Pradesh,Lucknow,2022,Fraud,301,205,145,6843158,4.4,26.8381,80.9346001,Low,96.95375242315149
90,Uttar Pradesh,Lucknow,2023,Murder,1100,744,333,6843158,16.07,26.8381,80.9346001,Low,88.87427305455553
91,Uttar Pradesh,Lucknow,2023,Rape,129,92,39,6843158,1.89,26.8381,80.9346001,Low,98.69149819994462
92,Uttar Pradesh,Lucknow,2023,Kidnapping,908,630,236,6843158,13.27,26.8381,80.9346001,Low,90.81279423982276
93,Uttar Pradesh,Lucknow,2023,Theft,569,499,207,6843158,8.31,26.8381,80.9346001,Low,94.24674605372473
94,Uttar Pradesh,Lucknow,2023,Robbery,420,357,224,6843158,6.14,26.8381,80.9346001,Low,95.74909997230684
95,Uttar Pradesh,Lucknow,2023,Assault,478,314,114,6843158,6.99,26.8381,80.9346001,Low,95.16062032677928
96,Uttar Pradesh,Lucknow,2023,Burglary,501,465,207,6843158,7.32,26.8381,80.9346001,Low,94.93215175851564
97,Uttar Pradesh,Lucknow,2023,Cybercrime,825,666,271,6843158,12.06,26.8381,80.9346001,Low,91.6505123234561
98,Uttar Pradesh,Lucknow,2023,Dowry Deaths,60,41,21,6843158,0.88,26.8381,80.9346001,Low,99.3907504846303
99,Uttar Pradesh,Lucknow,2023,Fraud,617,543,397,6843158,9.02,26.8381,80.9346001,Low,93.75519246746053
100,Uttar Pradesh,Kanpur Nagar,2014,Murder,24,20,13,4685861,0.51,26.4410107,80.2652803,Low,99.64691221268346
101,Uttar Pradesh,Kanpur Nagar,2014,Rape,304,215,84,4685861,6.49,26.4410107,80.2652803,Low,95.50678482414844
102,Uttar Pradesh,Kanpur Nagar,2014,Kidnapping,677,545,337,4685861,14.45,26.4410107,80.2652803,Low,89.99584602603157
103,Uttar Pradesh,Kanpur Nagar,2014,Theft,65,51,29,4685861,1.39,26.4410107,80.2652803,Low,99.03766269731376
104,Uttar Pradesh,Kanpur Nagar,2014,Robbery,1077,991,629,4685861,22.98,26.4410107,80.2652803,High,84.09027970091387
105,Uttar Pradesh,Kanpur Nagar,2014,Assault,716,475,203,4685861,15.28,26.4410107,80.2652803,Low,89.42121296039878
106,Uttar Pradesh,Kanpur Nagar,2014,Burglary,585,493,316,4685861,12.48,26.4410107,80.2652803,Low,91.35973414566602
107,Uttar Pradesh,Kanpur Nagar,2014,Cybercrime,455,301,167,4685861,9.71,26.4410107,80.2652803,Low,93.2774854610911
108,Uttar Pradesh,Kanpur Nagar,2014,Dowry Deaths,909,766,410,4685861,19.4,26.4410107,80.2652803,Low,86.568817502077
109,Uttar Pradesh,Kanpur Nagar,2014,Fraud,948,708,425,4685861,20.23,26.4410107,80.2652803,Medium,85.9941844364442
110,Uttar Pradesh,Kanpur Nagar,2015,Murder,644,607,319,4685861,13.74,26.4410107,80.2652803,Low,90.48739961229576
111,Uttar Pradesh,Kanpur Nagar,2015,Rape,290,232,133,4685861,6.19,26.4410107,80.2652803,Low,95.71448352256992
112,Uttar Pradesh,Kanpur Nagar,2015,Kidnapping,1093,784,446,4685861,23.33,26.4410107,80.2652803,High,83.84796455275547
113,Uttar Pradesh,Kanpur Nagar,2015,Theft,829,570,355,4685861,17.69,26.4410107,80.2652803,Low,87.75270008307947
114,Uttar Pradesh,Kanpur Nagar,2015,Robbery,1167,959,410,4685861,24.9,26.4410107,80.2652803,High,82.76100803101633
115,Uttar Pradesh,Kanpur Nagar,2015,Assault,817,575,237,4685861,17.44,26.4410107,80.2652803,Low,87.92578233176405
116,Uttar Pradesh,Kanpur Nagar,2015,Burglary,834,776,425,4685861,17.8,26.4410107,80.2652803,Low,87.67654389365826
117,Uttar Pradesh,Kanpur Nagar,2015,Cybercrime,550,464,277,4685861,11.74,26.4410107,80.2652803,Low,91.87205760177237
118,Uttar Pradesh,Kanpur Nagar,2015,Dowry Deaths,832,751,467,4685861,17.76,26.4410107,80.2652803,Low,87.7042370534478
119,Uttar Pradesh,Kanpur Nagar,2015,Fraud,397,319,206,4685861,8.47,26.4410107,80.2652803,Low,94.1359734145666
120,Uttar Pradesh,Kanpur Nagar,2016,Murder,434,399,175,4685861,9.26,26.4410107,80.2652803,Low,93.58903350872335
121,Uttar Pradesh,Kanpur Nagar,2016,Rape,1047,740,474,4685861,22.34,26.4410107,80.2652803,High,84.53337025754638
122,Uttar Pradesh,Kanpur Nagar,2016,Kidnapping,26,19,11,4685861,0.55,26.4410107,80.2652803,Low,99.61921905289394
123,Uttar Pradesh,Kanpur Nagar,2016,Theft,859,676,390,4685861,18.33,26.4410107,80.2652803,Low,87.30960952644696
